sku,image,gallery,status,color,fynd_uid
5045625903881,5045625903737_1.jpg,"5045625903737_1.jpg,5045625903737_2.jpg,5045625903737_3.jpg,5045625903737_4.jpg,5045625903737_5.jpg,5045625903737_11.jpg",active,White,8087485
5045625903911,5045625903737_1.jpg,"5045625903737_1.jpg,5045625903737_2.jpg,5045625903737_3.jpg,5045625903737_4.jpg,5045625903737_5.jpg,5045625903737_11.jpg",active,White,8087485
5045624466202,5045624466202_1.jpg,"5045624466202_1.jpg,5045624466202_2.jpg,5045624466202_3.jpg,5045624466202_4.jpg,5045624466202_5.jpg,5045624466202_6.jpg,5045624466202_7.jpg,5045624466202_11.jpg",active,Beige,8087618
5045624466233,5045624466202_1.jpg,"5045624466202_1.jpg,5045624466202_2.jpg,5045624466202_3.jpg,5045624466202_4.jpg,5045624466202_5.jpg,5045624466202_6.jpg,5045624466202_7.jpg,5045624466202_11.jpg",active,Beige,8087618
5045624466264,5045624466202_1.jpg,"5045624466202_1.jpg,5045624466202_2.jpg,5045624466202_3.jpg,5045624466202_4.jpg,5045624466202_5.jpg,5045624466202_6.jpg,5045624466202_7.jpg,5045624466202_11.jpg",active,Beige,8087618
5045624466295,5045624466202_1.jpg,"5045624466202_1.jpg,5045624466202_2.jpg,5045624466202_3.jpg,5045624466202_4.jpg,5045624466202_5.jpg,5045624466202_6.jpg,5045624466202_7.jpg,5045624466202_11.jpg",active,Beige,8087618
5045624466325,5045624466202_1.jpg,"5045624466202_1.jpg,5045624466202_2.jpg,5045624466202_3.jpg,5045624466202_4.jpg,5045624466202_5.jpg,5045624466202_6.jpg,5045624466202_7.jpg,5045624466202_11.jpg",active,Beige,8087618
5045624466356,5045624466202_1.jpg,"5045624466202_1.jpg,5045624466202_2.jpg,5045624466202_3.jpg,5045624466202_4.jpg,5045624466202_5.jpg,5045624466202_6.jpg,5045624466202_7.jpg,5045624466202_11.jpg",active,Beige,8087618
5045624466387,5045624466202_1.jpg,"5045624466202_1.jpg,5045624466202_2.jpg,5045624466202_3.jpg,5045624466202_4.jpg,5045624466202_5.jpg,5045624466202_6.jpg,5045624466202_7.jpg,5045624466202_11.jpg",active,Beige,8087618
5045624466417,5045624466202_1.jpg,"5045624466202_1.jpg,5045624466202_2.jpg,5045624466202_3.jpg,5045624466202_4.jpg,5045624466202_5.jpg,5045624466202_6.jpg,5045624466202_7.jpg,5045624466202_11.jpg",active,Beige,8087618
5045624466448,5045624466202_1.jpg,"5045624466202_1.jpg,5045624466202_2.jpg,5045624466202_3.jpg,5045624466202_4.jpg,5045624466202_5.jpg,5045624466202_6.jpg,5045624466202_7.jpg,5045624466202_11.jpg",active,Beige,8087618
5045624466479,5045624466202_1.jpg,"5045624466202_1.jpg,5045624466202_2.jpg,5045624466202_3.jpg,5045624466202_4.jpg,5045624466202_5.jpg,5045624466202_6.jpg,5045624466202_7.jpg,5045624466202_11.jpg",active,Beige,8087618
5045624466509,5045624466202_1.jpg,"5045624466202_1.jpg,5045624466202_2.jpg,5045624466202_3.jpg,5045624466202_4.jpg,5045624466202_5.jpg,5045624466202_6.jpg,5045624466202_7.jpg,5045624466202_11.jpg",active,Beige,8087618
5045624466530,5045624466202_1.jpg,"5045624466202_1.jpg,5045624466202_2.jpg,5045624466202_3.jpg,5045624466202_4.jpg,5045624466202_5.jpg,5045624466202_6.jpg,5045624466202_7.jpg,5045624466202_11.jpg",active,Beige,8087618
5045624466561,5045624466202_1.jpg,"5045624466202_1.jpg,5045624466202_2.jpg,5045624466202_3.jpg,5045624466202_4.jpg,5045624466202_5.jpg,5045624466202_6.jpg,5045624466202_7.jpg,5045624466202_11.jpg",active,Beige,8087618
5045624466592,5045624466202_1.jpg,"5045624466202_1.jpg,5045624466202_2.jpg,5045624466202_3.jpg,5045624466202_4.jpg,5045624466202_5.jpg,5045624466202_6.jpg,5045624466202_7.jpg,5045624466202_11.jpg",active,Beige,8087618
5045624466622,5045624466202_1.jpg,"5045624466202_1.jpg,5045624466202_2.jpg,5045624466202_3.jpg,5045624466202_4.jpg,5045624466202_5.jpg,5045624466202_6.jpg,5045624466202_7.jpg,5045624466202_11.jpg",active,Beige,8087618
5045624466653,5045624466202_1.jpg,"5045624466202_1.jpg,5045624466202_2.jpg,5045624466202_3.jpg,5045624466202_4.jpg,5045624466202_5.jpg,5045624466202_6.jpg,5045624466202_7.jpg,5045624466202_11.jpg",active,Beige,8087618
5045624466684,5045624466202_1.jpg,"5045624466202_1.jpg,5045624466202_2.jpg,5045624466202_3.jpg,5045624466202_4.jpg,5045624466202_5.jpg,5045624466202_6.jpg,5045624466202_7.jpg,5045624466202_11.jpg",active,Beige,8087618
5045624466714,5045624466202_1.jpg,"5045624466202_1.jpg,5045624466202_2.jpg,5045624466202_3.jpg,5045624466202_4.jpg,5045624466202_5.jpg,5045624466202_6.jpg,5045624466202_7.jpg,5045624466202_11.jpg",active,Beige,8087618
5045624466745,5045624466202_1.jpg,"5045624466202_1.jpg,5045624466202_2.jpg,5045624466202_3.jpg,5045624466202_4.jpg,5045624466202_5.jpg,5045624466202_6.jpg,5045624466202_7.jpg,5045624466202_11.jpg",active,Beige,8087618
5045624466776,5045624466202_1.jpg,"5045624466202_1.jpg,5045624466202_2.jpg,5045624466202_3.jpg,5045624466202_4.jpg,5045624466202_5.jpg,5045624466202_6.jpg,5045624466202_7.jpg,5045624466202_11.jpg",active,Beige,8087618
5045624466806,5045624466202_1.jpg,"5045624466202_1.jpg,5045624466202_2.jpg,5045624466202_3.jpg,5045624466202_4.jpg,5045624466202_5.jpg,5045624466202_6.jpg,5045624466202_7.jpg,5045624466202_11.jpg",active,Beige,8087618
5045559769706,5045559769706_1.jpg,"5045559769706_1.jpg,5045559769706_2.jpg,5045559769706_3.jpg,5045559769706_4.jpg,5045559769706_5.jpg,5045559769706_11.jpg",active,Brown,8087558
5045559769737,5045559769706_1.jpg,"5045559769706_1.jpg,5045559769706_2.jpg,5045559769706_3.jpg,5045559769706_4.jpg,5045559769706_5.jpg,5045559769706_11.jpg",active,Brown,8087558
5045559769768,5045559769706_1.jpg,"5045559769706_1.jpg,5045559769706_2.jpg,5045559769706_3.jpg,5045559769706_4.jpg,5045559769706_5.jpg,5045559769706_11.jpg",active,Brown,8087558
